Date,Open,High,Low,Close,Adj Close,Volume
2019-09-10,138.289993,138.360001,133.839996,136.589996,136.087769,3862300
2019-09-11,136.550003,139.759995,135.479996,139.500000,138.987045,2860800
2019-09-12,140.360001,142.149994,140.110001,141.740005,141.218826,2180700
2019-09-13,141.389999,142.750000,140.020004,141.020004,140.501480,2151700
2019-09-16,140.330002,141.649994,139.570007,140.649994,140.132813,2313200
2019-09-17,140.649994,142.710007,140.520004,142.330002,141.806656,1818000
2019-09-18,142.389999,144.759995,141.830002,143.949997,143.420685,2610100
2019-09-19,144.000000,146.929993,143.899994,145.750000,145.214081,2621800
2019-09-20,146.660004,147.330002,145.830002,146.470001,145.931442,5103500
2019-09-23,145.300003,146.339996,144.210007,144.600006,144.068314,1799500
2019-09-24,145.369995,146.190002,143.070007,144.550003,144.018509,3075800
2019-09-25,144.160004,144.699997,142.669998,143.949997,143.420685,2088500
2019-09-26,144.860001,144.979996,141.740005,142.759995,142.403244,1838600
2019-09-27,143.240005,143.610001,140.750000,141.559998,141.206238,1666200
2019-09-30,142.229996,145.149994,141.830002,144.429993,144.069061,2181100
2019-10-01,144.250000,145.360001,141.759995,141.919998,141.565353,1679800
2019-10-02,140.529999,141.080002,136.470001,137.110001,136.767365,2869800
2019-10-03,136.750000,138.839996,135.330002,138.809998,138.463120,1907200
2019-10-04,139.360001,141.729996,139.210007,141.649994,141.296005,1916200
2019-10-07,140.720001,141.130005,139.649994,139.679993,139.330933,1839200
2019-10-08,138.389999,138.649994,134.419998,135.619995,135.281082,2725800
2019-10-09,136.960007,137.750000,136.210007,137.199997,136.857147,1629700
2019-10-10,136.559998,139.419998,136.190002,138.759995,138.413239,1783700
2019-10-11,140.149994,141.990005,138.690002,138.720001,138.373337,1950400
2019-10-14,139.830002,140.000000,138.419998,138.800003,138.453140,1100300
2019-10-15,139.699997,140.699997,137.589996,137.589996,137.246155,2088000
2019-10-16,137.199997,138.479996,136.910004,137.389999,137.046661,2112900
2019-10-17,137.970001,138.500000,137.589996,137.770004,137.425720,1029100
2019-10-18,137.429993,138.580002,137.009995,138.009995,137.665115,1434300
2019-10-21,138.690002,138.899994,137.520004,138.229996,137.884567,1347000
2019-10-22,138.350006,139.729996,136.970001,137.080002,136.737442,1830300
2019-10-23,137.679993,139.000000,137.399994,138.449997,138.104019,2395700
2019-10-24,137.679993,138.330002,135.690002,136.440002,136.099045,2781000
2019-10-25,135.729996,136.309998,135.080002,135.869995,135.530457,2365200
2019-10-28,136.279999,137.509995,136.020004,136.210007,135.869614,1945500
2019-10-29,135.839996,138.710007,135.779999,137.270004,136.926956,2352500
2019-10-30,137.410004,138.809998,136.800003,138.250000,137.904510,3171600
2019-10-31,138.199997,138.699997,136.660004,137.820007,137.475601,2537400
2019-11-01,138.720001,139.330002,136.529999,136.570007,136.228714,2298400
2019-11-04,137.559998,137.990005,135.199997,135.220001,134.882080,2174500
2019-11-05,135.169998,135.550003,132.880005,133.470001,133.136475,3161500
2019-11-06,133.869995,135.050003,133.350006,134.860001,134.522995,2569800
2019-11-07,134.839996,135.220001,134.070007,134.500000,134.163895,2543300
2019-11-08,134.710007,135.619995,134.369995,135.229996,134.892059,1662400
2019-11-11,134.649994,135.740005,134.169998,134.520004,134.183838,1099500
2019-11-12,134.669998,136.289993,134.529999,135.539993,135.201279,1530800
2019-11-13,135.289993,137.699997,134.460007,137.050003,136.707504,4636300
2019-11-14,136.839996,137.139999,135.130005,136.149994,135.809753,2158400
2019-11-15,139.259995,143.029999,138.970001,142.990005,142.632675,13746200
2019-11-18,142.600006,143.070007,140.110001,140.229996,139.879562,5222300
2019-11-19,140.160004,143.800003,139.250000,143.600006,143.241165,7171300
2019-11-20,143.070007,143.820007,142.440002,142.960007,142.602753,6078500
2019-11-21,142.610001,143.279999,141.050003,143.179993,142.822189,6931100
2019-11-22,143.589996,143.850006,142.460007,143.320007,142.961853,4440900
2019-11-25,143.990005,145.000000,143.649994,144.940002,144.577789,4892000
2019-11-26,145.000000,146.399994,144.740005,145.979996,145.615204,8609800
2019-11-27,146.309998,147.199997,145.770004,146.589996,146.223663,8756100
2019-11-29,146.660004,147.000000,145.210007,145.979996,145.615204,1997900
2019-12-02,146.490005,146.679993,144.070007,145.690002,145.325928,8350400
2019-12-03,144.529999,146.990005,144.110001,146.690002,146.323425,9678100
2019-12-04,146.899994,149.610001,145.970001,147.309998,146.941864,15413500
2019-12-05,146.940002,147.300003,145.509995,147.190002,146.822174,15095700
2019-12-06,147.710007,148.940002,146.789993,148.220001,147.849609,22420000
2019-12-09,148.470001,149.309998,147.270004,147.529999,147.161316,34785200
2019-12-10,147.880005,148.940002,146.240005,148.839996,148.468048,40697000
2019-12-11,149.399994,150.470001,148.190002,149.669998,149.295975,53190400
